Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,CoinName,class
SMLY,Scrypt,PoW,29583989322.9213,50000000000,0.5484944037500628,-1.1561432111445735,-0.012999778296085597,SmileyCoin,2
MI,Scrypt,PoW/PoS,404316475.545465,400000000,-0.32695789474035625,0.9108187019305425,-0.5846384179720557,XiaoMiCoin,0
GRS,Groestl,PoW,73298203.8873662,105000000,-0.2011295745731428,-1.075897848353521,0.13904820195129577,Groestlcoin,2
CPC,X11,PoW/PoS,201364327.427503,208000000,-0.3945126236272731,1.1210372024492883,-0.5033737819863257,CapriCoin,0
CLUB,Scrypt,PoW/PoS,103621876.167052,160000000,-0.3323329442067453,0.9106976970393089,-0.5844861779804791, ClubCoin,0
RADS,PoS,PoS,3821245.74150193,9000000,-0.3601942169420784,1.938915203767681,-0.14626270066565744,Radium,0
BTA,Scrypt,PoW,5052555.91981545,5000000,-0.1673724461058116,-1.1601997811026943,0.005485436074865063,Bata,2
PAK,Scrypt,PoW,69684455.4387001,182000000,-0.1653277005738534,-1.1602110662481993,0.005436032502733659,Pakcoin,2
CRB,X11,Proof of Trust,16901016.6609755,16504333,-0.4074815931007368,0.4090531938791059,-0.150448312825224,Creditbit ,0
OK,SHA-256,PoW/PoS,74676064.9488608,105000000,-0.3092035638231139,0.8145903866046067,-0.4135939903296175,OKCash,0
LSK,DPoS,DPoS,120012140.0,159918400,3.7218335556515414,1.4167533611906564,-0.02170004496047437,Lisk,0
XHI,Scrypt,PoS,10000244677.7002,10008835635,-0.09695527490366217,0.8768862444527337,-0.29259397386297337,HiCoin,0
XWC,Scrypt,PoW/PoS,252005564.19257003,300000000,-0.32952756727900934,0.910750995863308,-0.5845641723856819,WhiteCoin,0
FSC,NeoScrypt,PoW/PoS,1120385.00502,60168145,-0.3418333613920609,0.49042995752564245,-0.2976149815896826,FriendshipCoin,0
J,Multiple,PoW,3332922.5,2800000,-0.1322849519525908,-1.7709680408956419,0.3909463071101633,JoinCoin,2
TRI,X13,PoW/PoS,140777.753365,120000,-0.2737146484795918,1.7681924911629827,-0.6933502690714539,Triangles Coin,0
VOLLAR,Equihash+Scrypt,PoW,100000000.0,2100000000,-0.13514557641289135,-2.138172937728307,0.5171343848896208,Vollar,2
EOS,DPoS,DPoS,1020544523.0722,0,3.7316994695652,1.4173770435522224,-0.02203910973492253,EOS,0
RCC,Ethash,PoW,24487944.095820397,24487944,-0.14665459315252227,-2.010445184918012,0.38771811491344743,Reality Clash,2
OXY,DPoS,DPoS,1122382283.37,0,3.7329434217025184,1.4174421956205112,-0.022079858627354464,Oxycoin,0
TCH,SHA-256,PoS,1000000000.0,1000000000,-0.2469102645131491,0.7777020164858042,-0.11692113816062565,TigerCash,0
WAVES,Leased POS,LPoS,100000000.0,100000000,-0.40342536820684305,2.7506122055592153,15.588810276067179,Waves,3
PART,PoS,PoS,9283137.5558676,8634140,-0.360130094363271,1.9389188068812993,-0.14626483750032163,Particl,0
BTT,TRC10,DPoS,989988713439.649,990000000000,34.05267987984653,2.222685655093357,-1.09132499189487,BitTorrent,1
NXT,PoS,PoS/LPoS,1000000000.0,1000000000,-0.400133690854237,2.652521134520596,-0.01564007050063697,Nxt,0
ZEPH,SHA-256,DPoS,1999999995.3056,2000000000,2.4735833013616406,0.6612176699871332,-0.05662273302527901,ZEPHYR,0
GAP,Scrypt,PoW/PoS,14931046.1546605,250000000,-0.3327780360502125,0.9106141927087397,-0.5844626601799332,Gapcoin,0
BDX,CryptoNight,PoW,980222595.0,1400222610,0.32899871886806065,-2.2041335814063707,0.41986378091272775,Beldex,2
